"","cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
"1",141.3,212,0,203.5,0,971.8,748.5,28,29.89
"2",168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
"3",250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
"4",266,114,0,228,0,932,670,28,45.85
"5",154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
"6",255,0,0,192,0,889.8,945,90,21.86
"7",166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
"8",251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
"9",296,0,0,192,0,1085,765,28,21.65
"10",155,184,143,194,9,880,699,28,28.99
"11",151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
"12",173,116,0,192,0,946.8,856.8,3,6.94
"13",385,0,0,186,0,966,763,14,27.92
"14",237.5,237.5,0,228,0,932,594,7,26.26
"15",167,187,195,185,7,898,636,28,23.89
"16",213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
"17",237.5,237.5,0,228,0,932,594,28,30.08
"18",336,0,0,182,3,986,817,28,44.86
"19",190.7,0,125.4,162.1,7.8,1090,804,3,15.04
"20",312.7,0,0,178.1,8,999.7,822.2,28,25.1
"21",229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
"22",228,342.1,0,185.7,0,955.8,674.3,7,21.92
"23",236,157,0,192,0,972.6,749.1,7,20.42
"24",132,207,161,179,5,867,736,28,33.3
"25",331,0,0,192,0,1025,821,28,31.74
"26",310,143,0,168,10,914,804,28,45.3
"27",304,76,0,228,0,932,670,90,49.19
"28",425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
"29",166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
"30",255,99,77,189,6,919,749,28,33.8
"31",339,0,0,197,0,968,781,28,32.04
"32",475,0,0,228,0,932,594,28,39.29
"33",145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
"34",313,145,0,127,8,1000,822,28,44.52
"35",331,0,0,192,0,1025,821,90,37.91
"36",178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
"37",165,0,143.6,163.8,0,1005.6,900.9,14,16.88
"38",277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
"39",325,0,0,184,0,1063,783,7,17.54
"40",167,75.4,167,164,7.9,1007.3,770.1,28,41.41
"41",194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
"42",246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
"43",382,0,0,185,0,1047,739,28,37.42
"44",149,118,92,183,7,953,780,28,23.52
"45",531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
"46",387,20,94,157,11.6,938,845,56,61.46
"47",193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
"48",326,0,138,199,11,801,792,28,40.68
"49",337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
"50",425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
"51",200,200,0,190,0,1145,660,28,49.25
"52",331,0,0,192,0,978,825,180,39
"53",218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
"54",234,156,0,189,5.9,981,760,28,39.3
"55",309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
"56",350,0,0,186,0,1050,770,7,20.28
"57",182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
"58",480,0,0,192,0,936.2,712.2,7,34.57
"59",295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
"60",250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
"61",178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
"62",233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
"63",194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
"64",379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
"65",332.5,142.5,0,228,0,932,594,365,41.05
"66",350,0,0,203,0,974,775,56,29.98
"67",237,92,71,247,6,853,695,28,28.63
"68",238.1,0,94.1,186.7,7,949.9,847,100,44.3
"69",295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
"70",323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
"71",200,133,0,192,0,965.4,806.2,3,11.41
"72",342,38,0,228,0,932,670,90,50.46
"73",388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
"74",147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
"75",290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
"76",500,0,0,200,0,1125,613,14,36.94
"77",284,15,141,179,5.5,842,801,7,24.13
"78",165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
"79",218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
"80",168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
"81",190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
"82",116,173,0,192,0,909.8,891.9,90,31.02
"83",277,0,0,191,0,968,856,90,31.25
"84",376,0,0,214.6,0,1003.5,762.4,100,43.06
"85",236,0,0,194,0,968,885,14,12.84
"86",273,0,90,199,11,931,762,28,32.24
"87",500,0,0,140,4,966,853,28,67.57
"88",212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
"89",362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
"90",275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
"91",139.6,209.4,0,192,0,1047,806.9,7,14.59
"92",362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
"93",182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
"94",427.5,47.5,0,228,0,932,594,180,41.84
"95",183.9,122.6,0,203.5,0,959.2,800,3,4.9
"96",475,0,59,142,1.9,1098,641,28,57.23
"97",362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
"98",318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
"99",252,97,76,194,8,835,821,28,33.4
"100",237.5,237.5,0,228,0,932,594,180,36.25
"101",149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
"102",540,0,0,162,2.5,1055,676,28,61.89
"103",313,0,113,178,8,1002,689,28,36.8
"104",380,0,0,228,0,932,670,180,53.1
"105",251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
"106",436,0,0,218,0,838.4,719.7,28,23.85
"107",155,0,143,193,9,877,868,28,9.74
"108",281,0,0,186,0,1104,774,7,14.5
"109",151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
"110",326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
"111",397,17.2,158,167,20.8,967,633,28,55.65
"112",238,0,0,186,0,1119,789,7,12.05
"113",158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
"114",385,0,0,186,0,966,763,28,31.35
"115",302,0,0,203,0,974,817,14,18.13
"116",192,288,0,192,0,929.8,716.1,3,12.79
"117",155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
"118",160,128,122,182,6.4,824,879,28,39.4
"119",222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
"120",251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
"121",331,0,0,192,0,978,825,7,16.26
"122",250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
"123",155,183,0,193,9,877,868,28,23.79
"124",213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
"125",446,24,79,162,11.6,967,712,56,61.07
"126",133,210,0,196,3,949,795,28,31.03
"127",122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
"128",290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
"129",323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
"130",375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
"131",181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
"132",298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
"133",236,0,0,193,0,968,885,7,9.99
"134",236,0,0,193,0,968,885,365,25.08
"135",339,0,0,197,0,968,781,3,13.22
"136",387,20,94,157,14.3,938,845,56,56.34
"137",166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
"138",387,20,94,157,13.9,938,845,28,46.68
"139",133,200,0,192,0,927.4,839.2,3,6.88
"140",162,214,164,202,10,820,680,28,30.65
"141",262,111,86,195,5,895,733,28,33.72
"142",213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
"143",332.5,142.5,0,228,0,932,594,90,37.72
"144",313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
"145",302,0,0,203,0,974,817,180,26.74
"146",183.9,122.6,0,203.5,0,959.2,800,90,32.53
"147",500,0,0,200,0,1125,613,7,33.21
"148",218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
"149",387,20,94,157,11.6,938,845,28,46.68
"150",380,95,0,228,0,932,594,270,41.15
"151",213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
"152",160,188,146,203,11,829,710,28,32.84
"153",322,0,0,203,0,974,800,180,29.59
"154",173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
"155",252,0,0,186,0,1111,784,7,11.47
"156",299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
"157",531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
"158",198.6,132.4,0,192,0,978.4,825.5,360,44.3
"159",116,173,0,192,0,909.8,891.9,28,22.35
"160",304,76,0,228,0,932,670,365,55.26
"161",331,0,0,192,0,978,825,28,31.45
"162",286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
"163",349,0,0,192,0,1047,806,7,18.13
"164",520,0,0,170,5.2,855,855,28,60.28
"165",252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
"166",255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
"167",446,24,79,162,11.6,967,712,28,44.42
"168",172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
"169",190.7,0,125.4,162.1,7.8,1090,804,56,35.34
"170",322,149,0,186,8,951,709,28,52.42
"171",446,24,79,162,11.6,967,712,28,57.03
"172",178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
"173",212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
"174",276,116,90,180,9,870,768,28,44.28
"175",393,0,0,192,0,940.6,785.6,90,48.85
"176",238.1,0,0,185.7,0,1118.8,789.3,28,17.58
"177",230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
"178",389.9,189,0,145.9,22,944.7,755.8,3,40.6
"179",157,236,0,192,0,935.4,781.2,90,43.38
"180",296,0,0,192,0,1085,765,7,14.2
"181",230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
"182",359,19,141,154,10.9,942,801,28,59.49
"183",374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
"184",102,153,0,192,0,887,942,7,7.68
"185",202,11,141,206,1.7,942,801,3,9.85
"186",350,0,0,203,0,974,775,14,22.53
"187",236,157,0,192,0,972.6,749.1,28,32.88
"188",252,0,0,185,0,1111,784,7,13.71
"189",252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
"190",336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
"191",362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
"192",218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
"193",315,137,0,145,5.9,1130,745,28,81.75
"194",159,209,161,201,7,848,669,28,30.88
"195",154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
"196",281,0,0,186,0,1104,774,28,22.44
"197",231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
"198",318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
"199",266,114,0,228,0,932,670,365,52.91
"200",277,0,0,191,0,968,856,180,32.33
"201",166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
"202",159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
"203",397,0,0,185.7,0,1040.6,734.3,7,25.45
"204",231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
"205",164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
"206",122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
"207",136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
"208",190,190,0,228,0,932,670,180,46.93
"209",337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
"210",349,0,0,192,0,1047,806,90,39.49
"211",184,86,190,213,6,923,623,28,22.93
"212",424,22,132,178,8.5,822,750,7,39
"213",379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
"214",212,0,124.8,159,7.8,1085.4,799.5,3,19.52
"215",156,243,0,180,11,1022,698,28,37.36
"216",136,196,98,199,6,847,783,28,26.97
"217",246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
"218",203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
"219",385,0,0,186,0,966,763,3,14.7
"220",181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
"221",254,0,0,198,0,968,863,90,26.94
"222",359,19,141,154,10.9,942,801,3,23.64
"223",230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
"224",382,0,0,186,0,1047,739,7,24
"225",220.8,147.2,0,185.7,0,1055,744.3,28,25.75
"226",313.3,0,113,178.5,8,1001.9,688.7,28,36.8
"227",167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
"228",144,170,133,192,8,814,805,28,29.87
"229",310,0,0,192,0,1012,830,90,35.76
"230",425,106.3,0,151.4,18.6,936,803.7,56,64.9
"231",108.3,162.4,0,203.5,0,938.2,849,3,2.33
"232",214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
"233",469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
"234",310,0,0,192,0,1012,830,28,27.83
"235",522,0,0,146,0,896,896,7,50.51
"236",236,0,0,194,0,968,885,3,6.47
"237",213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
"238",250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
"239",149,153,194,192,8,935,623,28,24.58
"240",439,177,0,186,11.1,884.9,707.9,56,71.7
"241",313,145,0,178,8,1002,689,28,41.05
"242",427.5,47.5,0,228,0,932,594,90,41.54
"243",165,0,143.6,163.8,0,1005.6,900.9,28,26.2
"244",322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
"245",393,0,0,192,0,940,758,90,48.79
"246",362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
